Class names: malignant benign

Feature names and their values:
sample_121       malignant        none             regularly        light            heavy
sample_122       benign           none             regularly        light            medium
sample_123       benign           none             regularly        light            medium
sample_124       malignant        heavy            occasionally     heavy            heavy
sample_125       benign           none             regularly        never            heavy
sample_126       benign           none             regularly        medium           medium
sample_127       benign           medium           regularly        light            low
sample_128       malignant        low              never            medium           low
sample_129       benign           heavy            never            heavy            low
sample_130       malignant        none             regularly        heavy            heavy
sample_131       benign           low              regularly        heavy            low
sample_132       benign           heavy            regularly        never            low
sample_133       benign           low              regularly        medium           low
sample_134       malignant        low              occasionally     medium           heavy
sample_135       benign           low              occasionally     never            low
sample_136       malignant        medium           never            light            heavy
sample_137       benign           none             regularly        never            low
sample_138       malignant        medium           never            never            heavy
sample_139       benign           heavy            occasionally     light            low
sample_140       malignant        medium           never            heavy            heavy
sample_141       malignant        heavy            never            heavy            heavy
sample_142       malignant        medium           occasionally     never            low
sample_143       benign           medium           occasionally     heavy            low
sample_144       malignant        low              occasionally     heavy            heavy
sample_145       benign           low              regularly        light            medium
sample_146       benign           none             occasionally     heavy            medium
sample_147       benign           medium           occasionally     never            low
sample_148       malignant        medium           regularly        heavy            heavy
sample_149       benign           low              occasionally     heavy            medium
sample_150       benign           medium           regularly        medium           medium
sample_151       malignant        medium           never            heavy            heavy
sample_152       benign           low              never            light            medium
sample_153       benign           medium           never            medium           medium
sample_154       benign           low              regularly        light            low
sample_155       benign           none             regularly        medium           low
sample_156       benign           heavy            never            heavy            medium
sample_157       benign           medium           regularly        never            medium
sample_158       benign           none             regularly        never            low
sample_159       benign           heavy            regularly        never            medium
sample_160       malignant        none             never            heavy            heavy
sample_161       malignant        medium           never            heavy            medium
sample_162       benign           none             regularly        heavy            low
sample_163       malignant        low              occasionally     heavy            heavy
sample_164       benign           heavy            regularly        medium           low
sample_165       malignant        none             occasionally     heavy            heavy
sample_166       benign           none             regularly        medium           low
sample_167       benign           none             regularly        light            heavy
sample_168       benign           none             regularly        never            low
sample_169       benign           low              never            heavy            medium
sample_170       malignant        none             never            heavy            heavy
sample_171       malignant        none             never            heavy            heavy
sample_172       benign           none             regularly        heavy            low
sample_173       benign           medium           regularly        light            low
sample_174       benign           none             regularly        light            low
sample_175       benign           low              regularly        light            heavy
sample_176       benign           medium           never            never            low
sample_177       benign           low              regularly        medium           medium
sample_178       malignant        heavy            occasionally     light            heavy
sample_179       benign           none             occasionally     never            low
sample_180       benign           low              regularly        heavy            low
sample_181       malignant        heavy            occasionally     heavy            heavy
sample_182       benign           medium           regularly        light            low
sample_183       benign           heavy            regularly        light            medium
sample_184       benign           low              never            never            low
sample_185       benign           heavy            regularly        light            heavy
sample_186       benign           low              never            light            low
sample_187       benign           low              regularly        light            medium
sample_188       malignant        medium           occasionally     heavy            heavy
sample_189       benign           medium           occasionally     never            low
sample_190       malignant        none             regularly        heavy            heavy
sample_191       benign           none             regularly        medium           medium
sample_192       benign           none             regularly        never            medium
sample_193       benign           low              regularly        never            low
sample_194       malignant        none             never            light            heavy
sample_195       malignant        heavy            occasionally     heavy            heavy
sample_196       benign           medium           regularly        heavy            heavy
sample_197       malignant        heavy            occasionally     heavy            medium
sample_198       malignant        none             never            heavy            low
sample_199       malignant        heavy            never            medium           heavy
